x(mm) ,V1(mV) ,V2(mV) ,V3(mV) ,V4(mV) ,VH(mV) ,B(mT)
    0 ,  1.43 ,-0.88  ,  0.88 ,-1.43  , 1.155 ,0.351
   10 ,  2.88 ,-2.33  ,  2.33 ,-2.88  , 2.605 ,0.791
   15 ,  3.80 ,-3.22  ,  3.23 ,-3.79  , 3.510 ,1.066
   20 ,  4.71 ,-4.16  ,  4.16 ,-4.71  , 4.435 ,1.346
   25 ,  5.39 ,-4.82  ,  4.82 ,-5.38  , 5.103 ,1.549
   30 ,  5.86 ,-5.33  ,  5.33 ,-5.87  , 5.598 ,1.699
   35 ,  6.18 ,-5.61  ,  5.61 ,-6.17  , 5.893 ,1.789
   40 ,  6.38 ,-5.86  ,  5.85 ,-6.39  , 6.120 ,1.858
   50 ,  6.63 ,-6.08  ,  6.09 ,-6.62  , 6.355 ,1.929
   60 ,  6.74 ,-6.20  ,  6.21 ,-6.74  , 6.473 ,1.965
   70 ,  6.80 ,-6.25  ,  6.25 ,-6.80  , 6.525 ,1.981
   90 ,  6.86 ,-6.30  ,  6.31 ,-6.86  , 6.583 ,1.998
  120 ,  6.89 ,-6.32  ,  6.33 ,-6.89  , 6.608 ,2.006
  150 ,  6.91 ,-6.35  ,  6.36 ,-6.91  , 6.633 ,2.014
  180 ,  6.92 ,-6.36  ,  6.36 ,-6.91  , 6.638 ,2.015
  210 ,  6.88 ,-6.33  ,  6.33 ,-6.88  , 6.605 ,2.005
  230 ,  6.81 ,-6.25  ,  6.25 ,-6.80  , 6.528 ,1.982
  240 ,  6.73 ,-6.16  ,  6.16 ,-6.73  , 6.445 ,1.956
  250 ,  6.60 ,-6.03  ,  6.03 ,-6.59  , 6.313 ,1.916
  260 ,  6.33 ,-5.75  ,  5.76 ,-6.33  , 6.043 ,1.834
  265 ,  6.10 ,-5.52  ,  5.52 ,-6.09  , 5.808 ,1.763
  270 ,  5.72 ,-5.14  ,  5.14 ,-5.71  , 5.428 ,1.648
  275 ,  5.18 ,-4.60  ,  4.61 ,-5.18  , 4.893 ,1.485
  280 ,  4.40 ,-3.82  ,  3.83 ,-4.39  , 4.110 ,1.248
  285 ,  3.50 ,-2.93  ,  2.93 ,-3.49  , 3.213 ,0.975
  290 ,  2.56 ,-1.99  ,  1.99 ,-2.56  , 2.275 ,0.691
  300 ,  1.39 ,-0.82  ,  0.82 ,-1.39  , 1.105 ,0.335
