I_M/mA ,B/Gauss ,I_R/mA ,R/Ohm  ,I_R/mA ,R/Ohm
100    ,30.159  , 1.605 ,2492.2 , 1.604 ,2493.8
90     ,27.143  , 1.604 ,2493.8 , 1.602 ,2496.9
80     ,24.127  , 1.602 ,2496.9 , 1.598 ,2503.1
70     ,21.111  , 1.595 ,2507.8 , 1.589 ,2517.3
60     ,18.095  , 1.582 ,2528.4 , 1.573 ,2542.9
50     ,15.079  , 1.561 ,2562.5 , 1.549 ,2582.3
40     ,12.063  , 1.534 ,2607.6 , 1.52  ,2631.6
30     ,9.048   , 1.505 ,2657.8 , 1.49  ,2684.6
20     ,6.032   , 1.473 ,2715.5 , 1.46  ,2739.7
10     ,3.016   , 1.443 ,2772.0 , 1.429 ,2799.2
5      ,1.508   , 1.43  ,2797.2 , 1.409 ,2838.9
0      ,0       , 1.414 ,2828.9 , 1.418 ,2820.9
-5     ,-1.508  , 1.413 ,2830.9 , 1.433 ,2791.3
-10    ,-3.016  , 1.433 ,2791.3 , 1.446 ,2766.3
-20    ,-6.032  , 1.463 ,2734.1 , 1.476 ,2710.0
-30    ,-9.048  , 1.493 ,2679.2 , 1.508 ,2652.5
-40    ,-12.063 , 1.523 ,2626.4 , 1.537 ,2602.5
-50    ,-15.079 , 1.551 ,2579.0 , 1.563 ,2559.2
-60    ,-18.095 , 1.575 ,2539.7 , 1.583 ,2526.8
-70    ,-21.111 , 1.59  ,2515.7 , 1.595 ,2507.8
-80    ,-24.127 , 1.598 ,2503.1 , 1.601 ,2498.4
-90    ,-27.143 , 1.602 ,2496.9 , 1.603 ,2495.3
-100   ,-30.159 , 1.604 ,2493.8 , 1.604 ,2493.8
